"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","conv_layers","dense_layers","dense_units_1","dense_units_2","dense_units_3","dropout_rate","epochs","filters_layer_1","filters_layer_2","filters_layer_3","filters_layer_4","kernel_size","learning_rate","optimizer","strides","accuracy_train","accuracy_val","epoch/epoch","epoch/accuracy","epoch/val_accuracy","epoch/loss","epoch/val_loss","epoch/learning_rate","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"cl:3, fl1:64, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T01:41:45.000Z","565","","","32","3","1","64","","","0.4","","64","32","32","","3","","","2","0.4722222222222222","0.6222222222222222","20","0.9444444179534912","0.6888889074325562","0.12929746508598328","0.5815268754959106","0.0005000000237487257","0.6360153256704981","0.7671232876712328","0.46629213483146065","0.6222222222222222","1","1"
"cl:3, fl1:64, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T01:33:00.000Z","468","","","32","3","1","64","","","0.4","","64","32","16","","3","","","2","0.5611111111111111","0.7111111111111111","15","0.9666666388511658","0.6222222447395325","0.20419904589653015","1.1217503547668457","0.0005000000237487257","0.6638297872340425","0.7868852459016393","0.5131578947368421","0.7272727272727273","0.9397590361445785","0.8571428571428571"
"cl:3, fl1:64, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T01:25:22.000Z","324","","","32","3","1","64","","","0.4","","64","16","64","","3","","","2","0.5222222222222223","0.6888888888888889","10","0.894444465637207","0.6222222447395325","0.23024128377437592","1.3814070224761963","0.0005000000237487257","0.6228070175438597","0.7586206896551724","0.4896551724137931","0.7333333333333333","0.8554216867469879","0.7857142857142857"
"cl:3, fl1:64, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T01:16:11.000Z","382","","","32","3","1","64","","","0.4","","64","16","32","","3","","","2","0.5666666666666667","0.4666666666666667","11","0.8888888955116272","0.6222222447395325","0.29713472723960876","0.8256276249885559","0.0005000000237487257","0.2641509433962264","0.3333333333333333","0.6086956521739131","0.75","0.1686746987951807","0.21428571428571427"
"cl:3, fl1:64, fl2:16, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T00:47:25.000Z","815","","","32","3","1","64","","","0.4","","64","16","16","","3","","","2","0.7166666666666667","0.8222222222222222","32","0.949999988079071","0.7777777910232544","0.1856272965669632","0.5236035585403442","0.0002500000118743628","0.7605633802816901","0.8709677419354839","0.6230769230769231","0.7941176470588235","0.9759036144578314","0.9642857142857144"
"cl:3, fl1:32, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T00:31:23.000Z","740","","","32","3","1","64","","","0.4","","32","64","64","","3","","","2","0.9666666666666668","0.9333333333333332","54","0.9888888597488404","0.8666666746139526","0.07586055248975754","0.29457420110702515","0.0000625000029685907","0.9642857142857144","0.9473684210526316","0.9529411764705882","0.9310344827586208","0.9759036144578314","0.9642857142857144"
"cl:3, fl1:32, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T00:06:04.000Z","920","","","32","3","1","64","","","0.4","","32","64","32","","3","","","2","0.9944444444444444","0.9333333333333332","68","0.9777777791023254","0.9555555582046508","0.09197486191987991","0.2446419596672058","0.00003125000148429535","0.993939393939394","0.9473684210526316","1","0.9310344827586208","0.9879518072289156","0.9642857142857144"
"cl:3, fl1:32, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-19T23:55:35.000Z","529","","","32","3","1","64","","","0.4","","32","64","16","","3","","","2","0.9","0.9111111111111112","38","0.9722222089767456","0.9555555582046508","0.09462692588567734","0.30034875869750977","0.0002500000118743628","0.8941176470588236","0.9285714285714286","0.8735632183908046","0.9285714285714286","0.9156626506024096","0.9285714285714286"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-19T22:52:10.000Z","972","","","32","3","1","64","","","0.4","","32","32","64","","3","","","2","0.9777777777777776","0.9555555555555556","75","0.9888888597488404","0.9555555582046508","0.0912027359008789","0.2043825387954712","0.000007812500371073838","0.9761904761904762","0.9642857142857144","0.9647058823529412","0.9642857142857144","0.9879518072289156","0.9642857142857144"
"cl:3, fl1:32, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-18T23:12:41.000Z","543","","","32","3","1","64","","","0.4","","32","32","16","","3","","","2","0.9555555555555556","0.9111111111111112","43","0.9666666388511658","0.8888888955116272","0.08626614511013031","0.3009354770183563","0.0001250000059371814","0.9493670886075948","0.925925925925926","1","0.9615384615384616","0.9036144578313252","0.8928571428571429"
